"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"207","male","group E","bachelor's degree","standard","none",82,62,62
"208","male","group E","high school","standard","completed",81,80,76
"215","male","group E","high school","standard","completed",87,91,81
"217","female","group E","associate's degree","free/reduced","completed",83,86,88
"226","female","group E","master's degree","free/reduced","none",45,56,54
"229","male","group A","some high school","free/reduced","none",68,72,64
"234","male","group E","some high school","standard","none",92,87,78
"242","female","group E","bachelor's degree","standard","none",80,83,83
"244","male","group E","some college","standard","none",59,51,43
"247","male","group E","associate's degree","standard","none",89,76,74
"251","male","group A","some high school","standard","completed",47,49,49
"256","female","group E","some college","standard","none",62,73,70
"264","female","group E","high school","standard","none",99,93,90
"270","female","group E","some college","free/reduced","none",71,76,70
"278","female","group E","high school","standard","completed",59,63,75
"287","male","group E","associate's degree","standard","completed",97,82,88
"290","male","group E","some high school","standard","completed",77,76,77
"294","female","group E","bachelor's degree","standard","none",65,73,75
"297","male","group A","some high school","standard","completed",46,41,43
"298","male","group E","associate's degree","standard","completed",71,74,68
"301","male","group A","some college","free/reduced","completed",81,78,81
"306","male","group A","some college","standard","none",69,67,69
"307","male","group E","some college","standard","completed",99,87,81
"322","female","group E","high school","standard","none",75,86,79
"328","male","group A","some college","free/reduced","none",28,23,19
"333","male","group E","associate's degree","standard","completed",62,56,53
"350","male","group E","associate's degree","standard","none",87,74,76
"352","male","group E","some college","standard","none",66,57,52
"357","male","group A","associate's degree","standard","none",63,61,61
"366","male","group A","bachelor's degree","free/reduced","completed",49,58,60
"369","female","group A","some high school","free/reduced","none",44,64,58
"371","male","group E","some college","standard","none",84,77,71
"376","male","group E","associate's degree","free/reduced","none",46,43,41
"379","female","group A","some high school","standard","none",71,83,77
"380","male","group A","bachelor's degree","standard","none",66,64,62
"384","female","group E","some high school","free/reduced","none",38,49,45
"385","female","group A","some high school","free/reduced","none",38,43,43
"386","female","group E","some college","standard","none",67,76,75
"387","female","group E","bachelor's degree","standard","none",64,73,70
"391","male","group E","some high school","free/reduced","completed",73,67,59
"393","male","group E","some college","standard","none",76,67,67
"396","male","group A","high school","free/reduced","none",48,45,41
"402","male","group A","some college","standard","none",53,43,43
"403","female","group A","some college","free/reduced","none",49,65,55
"412","male","group E","some college","standard","completed",84,83,78
"416","male","group E","high school","standard","none",84,73,69
"420","male","group E","high school","free/reduced","completed",57,56,54
"424","female","group A","some high school","standard","completed",59,85,80
"429","male","group A","some high school","free/reduced","none",65,59,53
"434","female","group A","some high school","free/reduced","none",47,59,50
"443","female","group A","some high school","free/reduced","none",59,73,69
"445","male","group A","some high school","free/reduced","none",79,82,73
"452","female","group E","some college","standard","none",100,92,97
"459","female","group E","bachelor's degree","standard","none",100,100,100
"463","female","group E","some college","standard","none",71,70,76
"465","male","group A","bachelor's degree","standard","completed",75,58,62
"468","male","group A","high school","free/reduced","completed",72,67,65
"469","female","group A","high school","free/reduced","completed",77,88,85
"477","male","group E","bachelor's degree","standard","completed",76,62,66
"480","male","group E","associate's degree","standard","none",76,71,67
"484","male","group A","high school","standard","none",59,52,46
"490","male","group A","associate's degree","free/reduced","completed",79,82,82
"491","female","group A","associate's degree","free/reduced","none",65,85,76
"500","male","group E","some college","standard","none",76,71,72
"504","female","group E","associate's degree","standard","completed",95,89,92
"507","male","group A","high school","standard","none",68,70,66
"512","male","group A","some high school","standard","none",64,50,43
"518","female","group E","some college","standard","completed",66,74,73
"526","male","group E","some college","standard","none",68,60,59
"533","male","group E","associate's degree","standard","completed",62,61,58
"534","female","group E","associate's degree","standard","completed",79,88,94
"539","male","group E","bachelor's degree","standard","completed",85,66,71
"540","male","group A","associate's degree","standard","completed",97,92,86
"546","male","group E","some high school","free/reduced","completed",78,83,80
"547","female","group A","some high school","standard","completed",92,100,97
"555","male","group E","associate's degree","standard","none",53,45,40
"567","female","group E","bachelor's degree","free/reduced","completed",92,100,100
"572","male","group A","bachelor's degree","standard","none",91,96,92
"575","female","group E","high school","standard","none",74,81,71
"576","male","group A","associate's degree","free/reduced","completed",40,55,53
"577","male","group A","some college","standard","completed",61,51,52
"582","female","group E","some high school","standard","none",77,79,80
"587","female","group A","high school","standard","none",55,73,73
"590","female","group A","some high school","standard","none",48,66,65
"592","male","group A","some high school","standard","none",71,62,50
"593","male","group E","bachelor's degree","standard","none",68,68,64
"594","female","group E","high school","standard","none",74,76,73
"598","male","group A","some high school","standard","none",53,54,48
"603","female","group E","some college","standard","none",76,78,80
"609","female","group E","some college","standard","none",61,64,62
"615","female","group A","associate's degree","standard","none",82,93,93
"617","female","group E","bachelor's degree","standard","none",37,45,38
"624","male","group A","some college","standard","completed",100,96,86
"625","female","group E","bachelor's degree","free/reduced","none",61,58,62
"636","male","group A","high school","standard","none",71,74,64
"639","male","group E","some college","standard","none",86,76,74
"644","female","group E","high school","standard","completed",74,79,80
"648","female","group E","high school","free/reduced","none",64,62,68
"652","female","group A","high school","standard","completed",68,80,76
"654","female","group A","associate's degree","standard","completed",65,70,74
"677","female","group E","some college","standard","completed",73,78,76
"686","female","group E","master's degree","standard","completed",94,99,100
"687","male","group E","some college","standard","completed",85,75,68
"689","male","group A","high school","free/reduced","none",53,58,44
"690","male","group E","some college","free/reduced","none",93,90,83
"692","female","group E","associate's degree","free/reduced","none",73,76,78
"698","female","group A","bachelor's degree","standard","none",59,72,70
"701","female","group E","bachelor's degree","standard","completed",79,81,82
"703","male","group A","bachelor's degree","standard","completed",87,84,87
"706","male","group A","bachelor's degree","free/reduced","none",62,72,65
"712","female","group E","some high school","standard","completed",80,85,85
"720","male","group E","associate's degree","free/reduced","completed",91,73,80
"726","male","group E","some college","standard","completed",81,74,71
"727","female","group E","associate's degree","standard","completed",65,75,77
"728","male","group E","some high school","standard","completed",68,51,57
"732","male","group A","some high school","free/reduced","none",55,46,43
"735","female","group E","some college","free/reduced","none",53,58,57
"742","female","group A","associate's degree","free/reduced","none",37,57,56
"752","male","group E","some college","standard","none",68,72,65
"756","female","group E","associate's degree","standard","none",84,95,92
"758","male","group E","bachelor's degree","free/reduced","completed",70,68,72
"770","male","group A","some college","free/reduced","none",58,60,57
"779","female","group A","some college","standard","completed",72,79,82
"780","male","group E","associate's degree","standard","completed",94,85,82
"787","female","group E","some high school","free/reduced","none",72,79,77
"794","male","group E","some high school","standard","completed",89,84,77
"796","female","group E","associate's degree","free/reduced","completed",57,68,73
"798","female","group E","associate's degree","free/reduced","none",70,84,81
"799","male","group E","some college","standard","none",69,60,54
"803","female","group E","associate's degree","standard","none",87,94,95
"806","male","group A","some college","free/reduced","none",75,81,74
"808","female","group E","high school","free/reduced","none",41,45,40
"811","male","group A","some high school","standard","none",51,31,36
"812","male","group A","high school","free/reduced","none",45,47,49
"814","male","group E","some high school","standard","completed",87,84,76
"817","female","group A","bachelor's degree","standard","none",45,59,64
"821","female","group A","some high school","standard","completed",85,90,92
"823","male","group E","some college","free/reduced","completed",49,52,51
"831","female","group A","some college","free/reduced","none",61,60,57
"833","male","group A","bachelor's degree","standard","none",64,60,58
"837","male","group E","high school","standard","none",73,64,57
"838","female","group A","high school","standard","completed",75,82,79
"846","male","group E","master's degree","standard","none",90,85,84
"852","female","group A","high school","standard","none",61,68,63
"853","female","group E","some college","standard","none",87,85,93
"854","male","group E","some high school","standard","none",82,67,61
"862","female","group E","master's degree","free/reduced","none",81,86,87
"869","male","group E","associate's degree","free/reduced","completed",78,74,72
"874","male","group E","associate's degree","free/reduced","none",90,90,82
"882","female","group E","bachelor's degree","standard","completed",71,70,70
"885","female","group E","associate's degree","standard","none",51,51,54
"887","female","group E","associate's degree","standard","completed",93,100,95
"891","female","group E","some college","standard","completed",86,85,91
"892","female","group E","associate's degree","standard","none",85,92,85
"893","female","group A","master's degree","free/reduced","none",50,67,73
"895","female","group E","associate's degree","standard","none",59,62,69
"896","female","group E","some high school","free/reduced","none",32,34,38
"903","female","group A","high school","free/reduced","completed",34,48,41
"910","male","group E","bachelor's degree","standard","completed",70,64,70
"912","female","group A","some college","standard","none",69,84,82
"916","female","group E","some college","standard","none",68,70,66
"917","male","group E","bachelor's degree","standard","completed",100,100,100
"926","male","group E","some high school","standard","completed",74,64,60
"927","male","group E","associate's degree","free/reduced","none",64,56,52
"929","male","group E","associate's degree","free/reduced","completed",46,43,44
"937","male","group A","associate's degree","standard","none",67,57,53
"938","female","group E","high school","free/reduced","none",57,58,57
"944","male","group A","some high school","free/reduced","completed",61,62,61
"950","female","group E","high school","free/reduced","completed",57,75,73
"951","male","group E","high school","standard","none",94,73,71
"953","female","group E","some high school","free/reduced","none",74,74,72
"956","male","group E","associate's degree","standard","none",72,57,62
"961","female","group A","some college","standard","none",56,58,64
"963","female","group E","associate's degree","standard","none",100,100,100
"967","male","group A","some high school","standard","completed",66,68,64
"969","female","group E","associate's degree","standard","none",68,76,67
"973","female","group A","high school","free/reduced","completed",53,50,60
"975","female","group A","some college","standard","none",54,63,67
"984","female","group A","some college","standard","completed",78,87,91
"986","male","group A","high school","standard","none",57,51,54
"988","male","group E","some high school","standard","completed",81,75,76
"989","female","group A","some high school","free/reduced","none",44,45,45
"991","male","group E","high school","free/reduced","completed",86,81,75
"995","male","group A","high school","standard","none",63,63,62
"996","female","group E","master's degree","standard","completed",88,99,95
